raga_name|kriti_name|composer_name|Link
abheri|Ninnu Vina Mari Galada|Shyama Sastri|
abheri|Ragam Tanam Pallavi|Own/others|
abheri|Vinabheri Venuvadyadi Vinodinim|Muthuswami Dikshitar|
tarangini|Maye Tvam Yahi Mam Badhitum|Muthuswami Dikshitar|
tarangini|Palaya Mam Parameshvari|Muthuswami Dikshitar|
asaveri|Adiya Padattait Tarum|Gopalakrishna Bharati|
asaveri|Ayyane Un Menmaiyai|Arunachala Kavi|
asaveri|Candram Bhaja Manasa|Muthuswami Dikshitar|
asaveri|Caranam Caranam|Arunachala Kavi|
asaveri|Dasharatha Nandana Danavabhanjana|Tyagaraja|
asaveri|Deva Palaya Murare|Swathi Thirunal Rama Varma|
asaveri|E Paniko Janmincitinani|Tyagaraja|
asaveri|Janakaja Sameta|Tyagaraja|
asaveri|Kadaikkannal Irangi|Arunachala Kavi|
asaveri|Kumarasvaminam Guruguham|Muthuswami Dikshitar|
asaveri|Lekana Ninnu Juttuukonnaru|Tyagaraja|
asaveri|Mapala Velasi Ika Mamu|Tyagaraja|
asaveri|Nammaka Ne Mosa Bodunaa|Tyagaraja|
asaveri|Palaya Madhava|Swathi Thirunal Rama Varma|
asaveri|Rara Mayinti Daka Raghuvira|Tyagaraja|
asaveri|Samayamu Delisi Punyamu|Tyagaraja|
asaveri|Sharanam Sharanam Raghurama|Arunachala Kavi|
asaveri|Tamasincu Talajala|Patnam Subramania Iyer|
asaveri|Vidu Vidada|Arunachala Kavi|
namai|Aananda Nartana Ganapatim|Oothukkadu Venkata Kavi|
namai|Danta Mamukha|Koteeswara Iyer|
namai|Ekadanta Vinayakam|Oothukkadu Venkata Kavi|
namai|Pahi Saure|Swathi Thirunal Rama Varma|
namai|Ragam Tanam Pallavi|Own/others|
namai|Shakti Ganapatim|Muthiah Bhagavatar|
namai|Tillana|Oothukkadu Venkata Kavi|
namai|Vava Shikhivahana|Koteeswara Iyer|
namai|Veda Mate|Muthiah Bhagavatar|
jhalavarali|Anatharakshhaka|Koteeswara Iyer|
cencukambhoji|Vara Raga Layajnulu|Tyagaraja|
shyamali|Aparadhamulanorva Samayamu|Tyagaraja|
sindhumandari|Karunincutakide|Patnam Subramania Iyer|
manoranjani|Atu Karadani Palka|Tyagaraja|
manoranjani|Balambike Pahi|Muthuswami Dikshitar|
surati|Adiya Padattai|Gopalakrishna Bharati|
surati|Alarsara|Swathi Thirunal Rama Varma|
surati|Angarakam Ashrayami|Muthuswami Dikshitar|
surati|Balasubramanyam Bhajeham|Muthuswami Dikshitar|
surati|Bhajana Parulakela Dandapani Bhayamu|Tyagaraja|
surati|Bhiksatana Vesamu Nikeelanayya|Tyagaraja|
surati|Chirakalam Nammitini|Madurai Gs Mani|
surati|Dayavu Sheyyavinnamenna|Neelakanta Sivan|
surati|Ento Premato-varnam|Tiruvettiyur Tyaagayya|
surati|Gitarthamu Sangitanandamu|Tyagaraja|
surati|Haridra Kumkuma|Muthiah Bhagavatar|
surati|Jalajabandhu|Swathi Thirunal Rama Varma|
surati|Kanaka Sabhai|Gopalakrishna Bharati|
surati|Kanaka Sabhai Tirunatanam|Gopalakrishna Bharati|
surati|Kana Venum Laksam Kangal|Arunachala Kavi|
surati|Kannalavo Swaami|Oothukkadu Venkata Kavi|
surati|Lalita Parameshvari|Muthuswami Dikshitar|
surati|Mahadeva Kancipuradhisha|Mysore Sadashiva Rao|
surati|Manamalar Alittu Maiyal|Tanjavur Sankara Iyer|
surati|Mariyada Teliyakane|Patnam Subramania Iyer|
surati|Ma Kulamununakihapara|Tyagaraja|
surati|Paradevi Ni Padamule|Veena Kuppayyar|
surati|Paramukham Elara Ramayya|Tyagaraja|
surati|Parvai Ondre Podume|Oothukkadu Venkata Kavi|
